"Date","Open","High","Low","Close","Volume"
"04/28/2026","242.13","244.8","241.16","242.945","760,402"
"04/27/2026","240.77","245.882","239.11","239.31","5,067,713"
"04/24/2026","239.77","245.66","238.42","245.44","6,492,913"
"04/23/2026","244.88","246.54","233.515","238.98","9,616,953"
"04/22/2026","254.8","258.75","251.9","255.94","7,111,008"
"04/21/2026","247","254.745","245.1","247.18","5,779,652"
"04/20/2026","249.49","251.63","245.34","248.63","5,249,971"
"04/17/2026","254.08","254.08","243.5","244.45","6,194,232"
"04/16/2026","253.05","254.51","245.78","248.155","5,229,487"
"04/15/2026","241.17","245.9291","239.2","244.66","4,749,594"
"04/14/2026","241.99","244.01","233","235.72","6,307,478"
"04/13/2026","227.14","240.19","226.5","240.11","6,115,751"
"04/10/2026","229.9","231.0367","224.13","225.35","5,889,240"
"04/09/2026","235.6","236.3","227.7","229.94","6,802,449"
"04/08/2026","244.3","247.4391","237.99","239.31","4,040,080"
"04/07/2026","244.17","244.77","238.72","240.14","3,331,009"
"04/06/2026","242.84","246.7","240.23","244.355","2,757,702"
"04/02/2026","242.46","245.01","237.72","242.92","3,588,792"
"04/01/2026","241.96","243.48","235","241.37","3,746,693"
"03/31/2026","241.67","244.03","239.51","243.08","4,575,911"
"03/30/2026","236.78","243.282","236.725","241.13","4,410,159"
"03/27/2026","239.7875","239.7875","233.155","234.84","4,429,433"
"03/26/2026","234.92","243.95","234.28","240.88","4,715,277"
"03/25/2026","241.2","243.58","233.79","237.25","5,441,648"
"03/24/2026","245.91","246.2","237.38","238.87","6,268,313"
"03/23/2026","248.945","251.0175","246.22","247.64","4,080,460"
"03/20/2026","242.8","249.0899","241","248.15","10,467,280"
"03/19/2026","246.96","250.4","244.27","245.99","4,459,828"
"03/18/2026","252.46","254.49","245.18","246","7,305,642"
"03/17/2026","252.99","258.91","252.14","254.2","6,456,240"
"03/16/2026","248.25","256.37","244.55","251.86","11,679,170"
"03/13/2026","249","256.7","247.16","249.32","17,406,380"
"03/12/2026","273.35","276.28","269.2","269.78","10,894,990"
"03/11/2026","277.93","280.375","269.25","273.705","4,862,412"
"03/10/2026","281.82","282.395","268.37","275.13","4,591,633"
"03/09/2026","281.32","285.2","277.9","282.44","4,728,359"
"03/06/2026","280.28","283.85","276.05","283.62","4,802,278"
"03/05/2026","275.4","285.36","275.4","281.74","5,822,261"
"03/04/2026","271.51","276.67","270.34","273.12","4,329,153"
"03/03/2026","260.05","272.825","260.05","270.99","6,206,582"
"03/02/2026","257.6","264.22","257.06","260.88","3,486,901"
"02/27/2026","254.02","262.75","253.06","262.41","5,098,206"
"02/26/2026","261.59","263.67","256.595","259.04","6,208,147"
"02/25/2026","253.33","257.99","250.7","257.81","5,108,563"
"02/24/2026","245.57","258.25","244.28","255.17","5,529,146"
"02/23/2026","254.14","254.5","244.8","246.68","7,602,386"
