"Date","Open","High","Low","Close","Volume"
"04/28/2026","6.7","7.3","6.6601","7.04","325,851"
"04/27/2026","6.95","7.14","6.55","6.7","1,233,366"
"04/24/2026","7.87","8.4765","7.02","7.02","2,104,819"
"04/23/2026","8.16","8.42","7.68","8.01","2,003,620"
"04/22/2026","8.49","9.25","7.55","8.43","4,512,504"
"04/21/2026","11.2","11.49","8.5","8.5","6,079,578"
"04/20/2026","11.2","12.5","10.7896","11.02","6,802,828"
"04/17/2026","12.53","13.4799","10.56","10.8","20,121,570"
"04/16/2026","14.395","14.44","10.85","10.91","30,812,580"
"04/15/2026","6.82","24.31","6.11","16.99","288,160,800"
"04/14/2026","2.5","2.6","2.39","2.49","63,273"
"04/13/2026","2.39","2.59","2.35","2.53","86,774"
"04/10/2026","2.5056","2.5056","2.3","2.39","37,453"
"04/09/2026","2.47","2.55","2.43","2.55","13,658"
"04/08/2026","2.59","2.66","2.43","2.51","88,797"
"04/07/2026","2.54","2.68","2.4101","2.52","89,650"
"04/06/2026","2.52","2.825","2.48","2.59","234,558"
"04/02/2026","2.45","2.7099","2.425","2.66","155,412"
"04/01/2026","2.78","2.92","2.58","2.62","404,336"
"03/31/2026","3.19","3.46","2.15","3.01","1,976,753"
"03/30/2026","3.12","3.155","2.98","2.98","782,595"
"03/27/2026","3.4","3.43","3.18","3.18","34,987"
"03/26/2026","3.54","3.59","3.43","3.47","26,182"
"03/25/2026","3.4","3.57","3.3105","3.57","30,567"
"03/24/2026","3.19","3.3649","3.18","3.34","14,033"
"03/23/2026","3.18","3.33","3.1266","3.21","37,124"
"03/20/2026","3.145","3.2","3.05","3.13","31,998"
"03/19/2026","3.09","3.26","2.9906","3.19","31,018"
"03/18/2026","3.25","3.25","3.02","3.13","38,004"
"03/17/2026","3.14","3.39","3.14","3.26","32,715"
"03/16/2026","3.11","3.195","3.1","3.11","22,725"
"03/13/2026","3.09","3.225","3.0526","3.09","19,661"
"03/12/2026","3.25","3.25","2.95","3.06","55,860"
"03/11/2026","3.8","3.8","3.2","3.22","78,190"
"03/10/2026","3.15","3.93","3.11","3.63","208,208"
"03/09/2026","2.44","3.26","2.4","3.11","158,428"
"03/06/2026","2.6","2.6","2.44","2.48","75,968"
"03/05/2026","2.75","2.77","2.6","2.61","36,562"
"03/04/2026","2.73","2.88","2.68","2.79","51,107"
"03/03/2026","2.8","2.92","2.63","2.76","111,571"
"03/02/2026","2.77","2.9691","2.76","2.85","30,619"
"02/27/2026","2.97","2.98","2.77","2.84","73,054"
"02/26/2026","2.79","3.01","2.79","2.98","81,162"
"02/25/2026","2.77","2.84","2.64","2.82","67,913"
"02/24/2026","2.921","2.97","2.65","2.72","88,197"
"02/23/2026","3.18","3.18","2.8","2.91","114,982"
"02/20/2026","3.09","3.362","3.0236","3.15","102,480"
"02/19/2026","3.05","3.21","2.96","3.11","53,352"
"02/18/2026","3.03","3.2","3.03","3.05","45,814"
"02/17/2026","2.99","3.12","2.9","3.06","58,001"
"02/13/2026","3","3.0526","2.96","3","49,889"
"02/12/2026","3.17","3.2122","2.97","3.05","79,239"
"02/11/2026","3.37","3.37","3.12","3.16","36,334"
"02/10/2026","3.39","3.51","3.33","3.34","26,335"
"02/09/2026","3.53","3.54","3.31","3.33","88,191"
