Date,Open,High,Low,Close,Volume
4/30/26,341.36,354.96,332.60,354.49,42115330
4/29/26,326.58,340.17,318.86,337.11,44704370
4/28/26,311.86,327.50,310.00,323.21,43002480
4/27/26,346.32,349.21,328.81,334.63,50585310
4/24/26,336.76,352.99,334.54,347.81,81616660
4/23/26,302.01,310.22,299.76,305.33,45619730
4/22/26,291.22,304.25,286.14,303.46,49054240
4/21/26,277.33,286.20,276.62,284.49,38950880
4/20/26,280.60,287.61,272.00,274.95,34833860
4/17/26,281.00,281.05,274.14,278.39,35519850
4/16/26,264.99,279.34,261.51,278.26,64850770
4/15/26,254.96,258.18,251.85,258.12,24695180
4/14/26,249.79,255.46,245.70,255.07,25733230
4/13/26,245.03,247.33,242.03,246.83,22781790
4/10/26,239.00,249.58,238.96,245.04,36477240
4/9/26,233.01,237.10,230.91,236.64,27126210
4/8/26,232.12,234.00,227.09,231.82,35496360
4/7/26,218.26,222.10,215.38,221.53,26483010
4/6/26,219.28,226.31,217.73,220.18,30786420
4/2/26,204.05,217.78,200.62,217.50,38463480
4/1/26,207.59,213.83,205.84,210.21,40835790
3/31/26,198.05,204.00,196.41,203.43,42318750
3/30/26,204.95,208.43,192.87,196.04,41053300
3/27/26,201.77,203.27,197.69,201.99,29206580
3/26/26,217.98,221.00,203.43,203.77,49212980
3/25/26,211.51,221.33,211.51,220.27,48518270
3/24/26,201.39,206.43,200.13,205.37,27258850
3/23/26,206.40,209.11,201.71,202.68,31857750
3/20/26,204.89,206.30,198.26,201.33,37265100
3/19/26,195.03,205.88,192.83,205.27,32245330
3/18/26,196.00,202.86,195.75,199.46,28569140
3/17/26,196.68,199.21,195.26,196.31,22779680
3/16/26,194.98,200.17,194.80,196.58,30285170
3/13/26,198.11,199.68,192.27,193.39,27561890
3/12/26,202.83,203.62,196.67,197.74,28886910
3/11/26,205.11,209.21,203.63,204.83,23076370
3/10/26,202.51,206.59,202.20,203.23,29139160
3/9/26,189.36,202.97,189.02,202.68,38877220
3/6/26,195.27,200.24,191.25,192.43,33913780
3/5/26,197.77,203.79,194.88,199.45,36000660
3/4/26,192.12,202.44,189.86,202.07,40912560
3/3/26,191.46,193.64,188.22,190.95,37785700
3/2/26,193.85,198.74,190.00,198.62,34120160
2/27/26,200.11,201.89,197.74,200.21,31312400
2/26/26,208.80,209.79,201.46,203.68,35020470
2/25/26,214.82,216.70,210.33,210.86,44588060
2/24/26,211.63,216.71,206.50,213.84,81367020
2/23/26,198.09,199.38,194.15,196.60,28187910
2/20/26,200.12,204.87,198.56,200.15,36317260
2/19/26,200.11,204.10,198.29,203.37,25842270
2/18/26,198.41,203.20,195.00,200.12,35664090
2/17/26,202.15,205.30,194.83,203.08,33712080
2/13/26,204.02,210.05,203.88,207.32,26123880
2/12/26,215.83,218.46,205.14,205.94,32180960
2/11/26,217.88,219.65,209.21,213.58,33384740
2/10/26,215.14,219.39,213.13,213.57,25326690
2/9/26,206.90,217.60,204.15,216.00,38810840
2/6/26,197.13,209.27,196.43,208.44,54504470
2/5/26,201.86,204.04,190.72,192.50,62196420
2/4/26,215.00,218.58,199.15,200.19,107173300
2/3/26,251.55,252.65,237.04,242.11,53097050
2/2/26,235.77,249.97,235.00,246.27,36308110
1/30/26,236.93,245.24,234.55,236.73,40035670
1/29/26,254.66,260.53,240.91,252.18,31685170
1/28/26,254.13,257.40,250.21,252.74,27061190
1/27/26,252.16,255.55,247.96,252.03,25691600
1/26/26,256.75,258.29,250.30,251.31,30672460
1/23/26,261.18,266.96,256.25,259.68,47525930
1/22/26,251.75,256.08,246.63,253.73,37945010
1/21/26,235.99,252.90,235.78,249.80,62385580
1/20/26,226.08,239.50,225.41,231.92,44327710
1/16/26,234.30,234.49,228.86,231.83,42545610
1/15/26,227.90,238.35,227.22,227.92,55270210
1/14/26,217.54,224.09,215.11,223.60,40466520
1/13/26,215.10,223.11,214.98,220.97,56894940
1/12/26,201.18,209.88,199.80,207.69,27287270
1/9/26,205.72,207.30,203.07,203.17,24217340
1/8/26,210.90,210.94,203.33,204.68,27505030
1/7/26,212.13,212.13,207.17,210.02,29715480
1/6/26,222.71,222.92,211.25,214.35,40033210
1/5/26,230.25,234.02,220.48,221.08,31941150
1/2/26,218.90,227.15,218.90,223.47,36446170
12/31/25,215.82,217.64,213.80,214.16,17591580
12/30/25,215.87,216.82,214.33,215.34,16409570
12/29/25,211.58,216.05,209.24,215.61,20326860
12/26/25,215.43,216.83,213.03,214.99,15792560
12/24/25,214.98,216.54,213.97,215.04,7956797
12/23/25,212.86,217.03,212.28,214.90,20272290
12/22/25,220.00,220.17,213.31,214.95,24950730
12/19/25,204.60,215.18,204.20,213.43,58445450
12/18/25,203.82,206.36,200.50,201.06,29720140
12/17/25,210.04,211.50,197.53,198.11,31595410
12/16/25,206.92,210.22,205.11,209.17,23467570
12/15/25,212.28,215.36,206.58,207.58,27222200
12/12/25,218.37,222.49,209.06,210.78,37073910
12/11/25,217.81,221.50,210.19,221.43,30694650
12/10/25,222.00,222.61,218.67,221.42,23279370
12/9/25,221.04,224.84,217.91,221.62,25166130
12/8/25,219.09,223.71,218.36,221.11,30943180
12/5/25,217.17,223.64,216.24,217.97,33292400
12/4/25,216.88,219.12,214.14,215.98,24478200
12/3/25,216.26,218.20,211.77,217.60,28545180
12/2/25,221.79,225.98,214.39,215.24,42002460
12/1/25,213.88,220.98,213.50,219.76,30768720
11/28/25,216.14,218.30,214.02,217.53,18657990
11/26/25,210.05,215.59,207.00,214.24,43270240
11/25/25,201.48,206.58,194.28,206.13,69773500
11/24/25,207.16,217.13,205.85,215.05,46749560
11/21/25,208.81,208.83,195.00,203.78,67421150
11/20/25,232.70,234.25,204.53,206.02,66342870
11/19/25,230.26,235.28,219.71,223.55,52093450
11/18/25,236.78,238.00,224.71,230.29,45619850
11/17/25,242.75,248.77,237.15,240.52,37942210
11/14/25,240.11,253.44,235.08,246.81,47655640
11/13/25,251.90,259.63,246.06,247.96,63178590
11/12/25,253.13,263.51,250.00,258.89,108942000
11/11/25,241.66,248.46,234.64,237.52,61336770
11/10/25,242.14,248.90,240.50,243.98,43361640
11/7/25,230.94,235.87,224.64,233.54,52162580
11/6/25,253.47,253.51,235.74,237.70,66049700
11/5/25,243.24,259.65,242.81,256.33,67366570
11/4/25,250.35,257.38,247.39,250.05,56491830
11/3/25,259.33,260.91,253.89,259.65,36351420
10/31/25,259.60,262.13,253.41,256.12,34449210
10/30/25,259.92,263.88,252.31,254.84,45162490
10/29/25,264.19,267.08,257.40,264.33,49335590
10/28/25,259.14,264.58,257.00,258.01,47448670
10/27/25,257.88,260.42,249.80,259.67,65613110
10/24/25,243.36,253.39,241.95,252.92,71221140
10/23/25,230.16,235.90,228.54,234.99,39024430
10/22/25,236.85,240.13,224.88,230.23,59668780
10/21/25,239.39,242.26,234.02,238.03,47122390
10/20/25,236.47,242.88,234.40,240.56,56741700
10/17/25,233.26,235.38,227.91,233.08,55804200
10/16/25,236.29,241.20,232.24,234.56,69726440
10/15/25,222.71,239.24,220.76,238.60,108481000
10/14/25,219.20,224.98,215.90,218.09,71216270
