Date,Open,High,Low,Close,Volume
4/30/26,270.50,276.00,268.14,271.35,91848230
4/29/26,267.55,271.04,267.04,270.17,30047870
4/28/26,272.34,273.23,268.66,270.71,40018940
4/27/26,266.09,268.36,265.07,267.61,41466760
4/24/26,272.76,273.06,269.65,271.06,38157110
4/23/26,275.05,275.77,271.65,273.43,33399640
4/22/26,267.82,273.74,266.87,273.17,43249200
4/21/26,271.50,272.80,265.40,266.17,50209760
4/20/26,270.33,274.28,270.29,273.05,36590170
4/17/26,266.96,272.30,266.72,270.23,61436230
4/16/26,266.80,267.16,261.27,263.40,43323110
4/15/26,258.16,266.56,257.81,266.43,49913510
4/14/26,259.25,261.93,257.19,258.83,48370710
4/13/26,259.73,260.18,256.66,259.20,36234700
4/10/26,259.98,262.19,259.02,260.48,31291470
4/9/26,259.00,261.12,256.07,260.49,28121570
4/8/26,258.45,259.75,256.53,258.90,41032770
4/7/26,256.16,256.20,245.70,253.50,62148010
4/6/26,256.51,262.16,256.46,258.86,29329910
4/2/26,254.20,256.13,250.65,255.92,31289370
4/1/26,254.08,256.18,253.33,255.63,40059430
3/31/26,247.91,255.48,247.10,253.79,49598090
3/30/26,250.07,250.87,245.51,246.63,39446210
3/27/26,253.90,255.49,248.07,248.80,47900000
3/26/26,252.12,257.00,250.77,252.89,41796650
3/25/26,254.10,255.00,251.60,252.62,28476670
3/24/26,250.35,254.83,249.55,251.64,45152290
3/23/26,253.97,254.60,250.28,251.49,40546110
3/20/26,247.98,249.20,246.00,247.99,88331080
3/19/26,249.40,251.83,247.30,248.96,34864080
3/18/26,252.63,254.94,249.00,249.94,35757870
3/17/26,252.96,255.13,252.18,254.23,32361610
3/16/26,252.11,253.89,249.88,252.82,32074210
3/13/26,255.48,256.33,249.52,250.12,36929990
3/12/26,258.66,258.95,254.18,255.76,40794020
3/11/26,261.09,262.13,259.55,260.81,26218930
3/10/26,257.65,262.48,256.95,260.83,30590770
3/9/26,255.69,261.15,253.68,259.88,38218530
3/6/26,258.63,258.77,254.37,257.46,41120040
3/5/26,260.79,261.56,257.25,260.29,49658630
3/4/26,264.65,266.15,261.42,262.52,39803120
3/3/26,263.48,265.56,260.13,263.75,38568920
3/2/26,262.41,266.53,260.20,264.72,41827950
2/27/26,272.81,272.81,262.89,264.18,72366510
2/26/26,274.95,276.11,270.80,272.95,32345110
2/25/26,271.78,274.94,271.05,274.23,33714340
2/24/26,267.86,274.89,267.71,272.14,47014620
2/23/26,263.49,269.43,263.38,266.18,37308160
2/20/26,258.97,264.75,258.16,264.58,42070500
2/19/26,262.60,264.48,260.05,260.58,30845290
2/18/26,263.60,266.82,262.45,264.35,34203340
2/17/26,258.05,266.29,255.54,263.88,58469090
2/13/26,262.01,262.23,255.45,255.78,56290670
2/12/26,275.59,275.72,260.18,261.73,81077230
2/11/26,274.70,280.18,274.45,275.50,51931280
2/10/26,274.89,275.37,272.94,273.68,34376900
2/9/26,277.91,278.20,271.70,274.62,44623400
2/6/26,277.12,280.91,276.93,278.12,50453410
2/5/26,278.13,279.50,273.23,275.91,52977440
2/4/26,272.29,278.95,272.29,276.49,90545710
2/3/26,269.20,271.88,267.61,269.48,64394660
2/2/26,260.03,270.49,259.21,270.01,73913430
1/30/26,255.17,261.90,252.18,259.48,92443410
1/29/26,258.00,259.65,254.41,258.28,67253010
1/28/26,257.65,258.86,254.51,256.44,41287970
1/27/26,259.17,261.95,258.21,258.27,49648270
1/26/26,251.48,256.56,249.80,255.41,55969230
1/23/26,247.32,249.41,244.68,248.04,41688980
1/22/26,249.20,251.00,248.15,248.35,39708340
1/21/26,248.70,251.56,245.18,247.65,54641730
1/20/26,252.73,254.79,243.42,246.70,80267520
1/16/26,257.90,258.90,254.93,255.53,72142770
1/15/26,260.65,261.04,257.05,258.21,39388560
1/14/26,259.49,261.82,256.71,259.96,40019420
1/13/26,258.72,261.81,258.39,261.05,45730850
1/12/26,259.16,261.30,256.80,260.25,45263770
1/9/26,259.08,260.21,256.22,259.37,39996970
1/8/26,257.02,259.29,255.70,259.04,50419340
1/7/26,263.20,263.68,259.81,260.33,48309800
1/6/26,267.00,267.55,262.12,262.36,52352090
1/5/26,270.64,271.51,266.14,267.26,45647190
1/2/26,272.26,277.84,269.00,271.01,37838050
12/31/25,273.06,273.68,271.75,271.86,27293640
12/30/25,272.81,274.08,272.28,273.08,22139620
12/29/25,272.69,274.36,272.35,273.76,23715210
12/26/25,274.16,275.37,272.86,273.40,21521800
12/24/25,272.34,275.43,272.20,273.81,17910570
12/23/25,270.84,272.50,269.56,272.36,29642000
12/22/25,272.86,273.88,270.51,270.97,36571830
12/19/25,272.15,274.60,269.90,273.67,144632000
12/18/25,273.61,273.63,266.95,272.19,51630720
12/17/25,275.01,276.16,271.64,271.84,50138740
12/16/25,272.82,275.50,271.79,274.61,37648630
12/15/25,280.15,280.15,272.84,274.11,50409080
12/12/25,277.90,279.22,276.82,278.28,39532890
12/11/25,279.10,279.59,273.81,278.03,33247990
12/10/25,277.75,279.75,276.44,278.78,33038320
12/9/25,278.16,280.03,276.92,277.18,32193260
12/8/25,278.13,279.67,276.15,277.89,38211830
12/5/25,280.54,281.14,278.05,278.78,47265850
12/4/25,284.10,284.73,278.59,280.70,43989060
12/3/25,286.20,288.62,283.30,284.15,43538690
12/2/25,283.00,287.40,282.63,286.19,53669530
12/1/25,278.01,283.42,276.14,283.10,46587720
11/28/25,277.26,279.00,275.99,278.85,20135620
11/26/25,276.96,279.53,276.63,277.55,33431420
11/25/25,275.27,280.38,275.25,276.97,46914220
11/24/25,270.90,277.00,270.90,275.92,65585800
11/21/25,265.95,273.33,265.67,271.49,59030830
11/20/25,270.83,275.43,265.92,266.25,45823570
11/19/25,265.53,272.21,265.50,268.56,40424490
11/18/25,269.99,270.71,265.32,267.44,45677280
11/17/25,268.82,270.49,265.73,267.46,45018260
11/14/25,271.05,275.96,269.60,272.41,47431330
11/13/25,274.11,276.70,272.09,272.95,49602790
11/12/25,275.00,275.73,271.70,273.47,48397980
11/11/25,269.81,275.91,269.80,275.25,46208320
11/10/25,268.96,273.73,267.46,269.43,41312410
11/7/25,269.80,272.29,266.77,268.47,48227370
11/6/25,267.89,273.40,267.89,269.77,51204050
11/5/25,268.61,271.70,266.93,270.14,43683070
11/4/25,268.33,271.49,267.62,270.04,49274850
11/3/25,270.42,270.85,266.25,269.05,50194580
10/31/25,276.99,277.32,269.16,270.37,86167120
10/30/25,271.99,274.14,268.48,271.40,69886530
10/29/25,269.28,271.41,267.11,269.70,51086740
10/28/25,268.99,269.89,268.15,269.00,41534760
10/27/25,264.88,269.12,264.65,268.81,44888150
10/24/25,261.19,264.13,259.18,262.82,38253720
10/23/25,259.94,260.62,258.01,259.58,32754940
10/22/25,262.65,262.85,255.43,258.45,45015250
10/21/25,261.88,265.29,261.83,262.77,46695950
10/20/25,255.89,264.38,255.63,262.24,90483030
10/17/25,248.02,253.38,247.27,252.29,49146960
10/16/25,248.25,249.04,245.13,247.45,39776970
10/15/25,249.49,251.82,247.47,249.34,33893610
10/14/25,246.60,248.85,244.70,247.77,35477990
10/13/25,249.38,249.69,245.56,247.66,38142940
10/10/25,254.94,256.38,244.00,245.27,61999100
10/9/25,257.81,258.00,253.14,254.04,38322010
10/8/25,256.52,258.52,256.11,258.06,36496900
10/7/25,256.81,257.40,255.43,256.48,31955780
10/6/25,257.99,259.07,255.05,256.69,44664120
10/3/25,254.67,259.24,253.95,258.02,49155610
