Date,Close/Last,Volume,Open,High,Low
04/30/2026,$73.90,13483220,$72.28,$74.36,$70.14
04/29/2026,$69.85,15006030,$71.19,$71.23,$67.49
04/28/2026,$71.88,15266220,$75.22,$76.61,$70.99
04/27/2026,$77.20,12289490,$76.70,$77.80,$73.90
04/24/2026,$76.40,11878590,$79.00,$79.60,$75.95
04/23/2026,$78.75,17469120,$82.535,$83.43,$76.92
04/22/2026,$84.66,22048750,$84.66,$87.78,$82.74
04/21/2026,$80.01,19997370,$82.33,$84.89,$78.801
04/20/2026,$81.00,39864510,$74.10,$81.095,$73.50
04/17/2026,$85.53,20114500,$89.89,$91.77,$84.91
04/16/2026,$90.94,18094160,$87.36,$91.095,$86.50
04/15/2026,$86.91,17386400,$88.845,$88.845,$84.02
04/14/2026,$88.57,34049650,$102.95,$104.15,$87.40
04/13/2026,$98.97,12801290,$93.05,$100.51,$92.50
04/10/2026,$94.90,11817970,$92.85,$98.35,$91.7355
04/09/2026,$91.61,9267690,$96.135,$98.50,$90.61
04/08/2026,$96.46,11463980,$100.66,$101.89,$93.5862
04/07/2026,$92.57,10175380,$93.10,$95.66,$89.6101
04/06/2026,$94.81,13162250,$93.935,$99.72,$92.7701
04/02/2026,$92.62,16940390,$79.20,$92.94,$78.912
04/01/2026,$83.99,12056780,$84.53,$88.45,$83.075
03/31/2026,$82.87,15135300,$77.24,$83.275,$75.93
03/30/2026,$73.82,13460790,$79.536,$79.86,$71.85
03/27/2026,$78.67,14779240,$89.44,$90.25,$78.5201
03/26/2026,$87.86,13366060,$93.55,$95.75,$87.20
03/25/2026,$96.06,18075510,$89.59,$98.51,$88.85
03/24/2026,$86.98,10141940,$87.25,$89.32,$82.85
03/23/2026,$88.42,12890830,$90.39,$90.90,$86.5303
03/20/2026,$89.93,16264210,$94.54,$96.99,$86.31
03/19/2026,$94.09,10240980,$88.025,$95.50,$86.81
03/18/2026,$90.74,9098231,$94.67,$96.45,$90.65
03/17/2026,$95.70,13878520,$89.92,$97.40,$89.60
03/16/2026,$89.11,8143298,$88.00,$90.35,$85.05
03/13/2026,$86.34,8347595,$89.02,$92.45,$85.66
03/12/2026,$87.09,9899828,$87.04,$90.3599,$83.91
03/11/2026,$88.21,10197410,$86.80,$93.27,$85.50
03/10/2026,$87.53,11452440,$90.00,$92.66,$87.35
03/09/2026,$89.76,10640060,$87.69,$91.87,$86.55
03/06/2026,$89.475,13624890,$91.54,$100.33,$89.47
03/05/2026,$93.86,15788530,$103.03,$103.81,$91.051
03/04/2026,$104.89,20805410,$95.06,$106.66,$94.80
03/03/2026,$92.68,21783400,$88.01,$97.57,$84.01
03/02/2026,$86.92,13561820,$78.845,$86.95,$78.14
02/27/2026,$79.19,24037700,$82.72,$83.50,$77.17
02/26/2026,$85.76,9312255,$81.90,$87.74,$81.2101
02/25/2026,$82.36,7512805,$87.00,$88.58,$82.315
02/24/2026,$85.82,7553643,$81.565,$86.29,$80.83
02/23/2026,$83.90,12971220,$78.252,$87.30,$77.90
02/20/2026,$80.20,10209480,$85.13,$87.0899,$79.51
02/19/2026,$86.40,8590786,$82.88,$86.72,$82.10
02/18/2026,$84.43,10338460,$83.01,$87.25,$82.10
02/17/2026,$83.03,9366187,$80.87,$84.82,$78.80
02/13/2026,$82.51,12963290,$82.14,$85.00,$80.10
02/12/2026,$82.22,30244190,$87.90,$88.00,$79.89
02/11/2026,$96.92,13701650,$100.76,$102.85,$93.20
02/10/2026,$96.27,10353700,$100.00,$101.37,$95.70
02/09/2026,$102.12,11587300,$100.505,$108.34,$98.73
02/06/2026,$101.79,15910050,$97.75,$105.20,$91.35
02/05/2026,$93.27,16389270,$98.60,$101.25,$92.20
02/04/2026,$103.50,20039860,$114.36,$114.64,$97.60
