"Date","Open","High","Low","Close","Volume"
"04/28/2026","237.97","241.99","237","237.91","88,742"
"04/27/2026","235.91","241.575","234.68","235.03","1,689,409"
"04/24/2026","232.58","237.74","231.18","237.44","1,386,204"
"04/23/2026","240.36","241.1","227","231.98","2,428,879"
"04/22/2026","247.29","250","245","247.57","1,518,179"
"04/21/2026","245.23","250.91","243.5","245.48","1,441,270"
"04/20/2026","241.48","246.3","241.25","245.31","1,260,555"
"04/17/2026","249.4","250","241.27","242.02","2,551,118"
"04/16/2026","244.51","245.58","240.42","243.16","1,517,124"
"04/15/2026","234.79","240.78","232.2","239.32","1,759,967"
"04/14/2026","227.89","230.68","225.08","228.59","1,814,033"
"04/13/2026","218.01","227.53","216.415","227.14","2,836,483"
"04/10/2026","221.54","223.15","214.1","218.45","2,504,889"
"04/09/2026","237.51","238.5","217.1801","225.13","3,604,911"
"04/08/2026","241.145","244.8","239.03","240.65","1,990,458"
"04/07/2026","236.33","238.6","232.91","234.96","1,319,034"
"04/06/2026","236.84","239","234.67","237.72","1,189,834"
"04/02/2026","239.72","241.46","234.085","238.08","1,990,719"
"04/01/2026","238.86","240.49","232.18","237.87","1,800,328"
"03/31/2026","234.92","241.21","234.89","239.4","1,947,047"
"03/30/2026","232.255","238.54","231.045","235.68","1,653,684"
"03/27/2026","237.63","237.87","229.24","229.84","2,233,357"
"03/26/2026","234.66","243.62","234.32","239.83","1,468,296"
"03/25/2026","241.24","243.2","232.41","235.42","1,685,388"
"03/24/2026","245.28","245.28","237.275","239.39","2,224,498"
"03/23/2026","248.29","251.06","244.73","247.44","2,658,185"
"03/20/2026","245.95","248.61","241.495","247.99","4,418,598"
"03/19/2026","248.98","255.34","246.08","247.65","2,148,424"
"03/18/2026","250.28","254.44","248.25","248.48","1,811,138"
"03/17/2026","250.59","259.39","250.59","252.92","1,254,791"
"03/16/2026","252.09","253.02","249.295","249.78","1,353,422"
"03/13/2026","249.52","252.83","248.54","251.17","1,442,845"
"03/12/2026","250.71","255.945","249.235","249.89","1,653,557"
"03/11/2026","255.45","259.54","249.76","251.83","1,959,076"
"03/10/2026","260.58","261.78","252.09","253.85","1,858,035"
"03/09/2026","260.77","262.52","256.5","260.75","1,803,656"
"03/06/2026","261.535","263.05","257.73","260.99","2,020,993"
"03/05/2026","258.55","264.7499","256.9","264.12","2,186,504"
"03/04/2026","253.3","258.81","252.5","257.89","2,657,032"
"03/03/2026","246.1","254.83","244.445","253.4","2,606,324"
"03/02/2026","243.525","249.15","243","246.94","2,401,153"
"02/27/2026","233.58","248.7","233.3","245.87","5,370,879"
"02/26/2026","228.425","233.73","227.31","233.45","4,076,503"
"02/25/2026","220.95","225.8","219.05","224.81","1,955,815"
"02/24/2026","217.54","225.3","215.01","220.91","2,204,549"
"02/23/2026","223.63","225.65","216.72","218.64","2,060,981"
"02/20/2026","227.65","232.21","225.78","226.98","1,743,105"
"02/19/2026","229.86","230","226.5","229.1","1,451,043"
"02/18/2026","224.49","230.09","223.21","229.74","2,009,574"
