Date,Open,High,Low,Close,Volume
4/30/26,487.97,529.89,486.25,527.58,2665450
4/29/26,480.14,482.54,468.31,475.39,1830424
4/28/26,485.00,493.31,461.07,473.69,3103069
4/27/26,515.82,516.34,485.00,506.34,1684236
4/24/26,514.82,527.50,505.55,520.80,1418284
4/23/26,505.00,527.86,497.09,515.85,2281939
4/22/26,511.50,518.15,467.19,498.97,2778042
4/21/26,507.77,522.50,493.54,505.93,1805652
4/20/26,512.00,517.88,497.62,503.27,1963473
4/17/26,500.47,513.83,495.17,507.43,1926270
4/16/26,476.75,495.40,462.00,495.17,2298719
4/15/26,471.78,481.28,454.34,475.76,3041125
4/14/26,486.75,487.74,458.01,467.19,3429530
4/13/26,493.44,494.60,472.32,479.90,3048391
4/10/26,498.11,508.64,475.22,496.02,2498395
4/9/26,498.91,513.49,473.73,487.38,3280367
4/8/26,475.50,499.39,471.66,494.01,4110400
4/7/26,435.28,449.34,421.30,447.88,1969528
4/6/26,455.45,459.80,432.77,434.26,1939070
4/2/26,400.98,453.00,400.00,447.76,3617746
4/1/26,401.71,421.99,399.82,415.39,2677105
3/31/26,373.77,388.72,364.16,388.23,3020976
3/30/26,411.00,414.75,361.70,365.00,3512374
3/27/26,394.82,411.50,391.36,401.61,2518013
3/26/26,428.47,428.74,387.40,387.99,3719886
3/25/26,431.51,446.89,423.88,437.70,2670787
3/24/26,405.00,434.22,405.00,429.38,3382007
3/23/26,399.40,415.57,393.96,407.90,3544005
3/20/26,416.00,419.80,380.11,383.89,5809564
3/19/26,373.12,416.76,371.00,412.58,3934558
3/18/26,376.00,402.17,376.00,385.26,4159451
3/17/26,358.31,379.42,350.36,370.05,3263987
3/16/26,345.00,367.45,344.99,363.88,3759723
3/13/26,339.22,353.25,334.50,337.38,2425790
3/12/26,344.26,350.33,329.41,336.83,2641061
3/11/26,333.89,346.06,329.58,339.95,2063731
3/10/26,325.00,349.77,325.00,337.36,3020891
3/9/26,289.49,319.29,287.25,318.54,3070255
3/6/26,294.81,315.84,293.11,294.17,3924162
3/5/26,312.01,315.50,278.39,299.30,7851824
3/4/26,339.19,353.78,335.00,343.55,2708630
3/3/26,339.57,340.69,320.32,333.07,3014089
3/2/26,353.76,364.05,345.06,353.73,2527510
2/27/26,340.66,353.57,337.11,348.70,3083021
2/26/26,354.59,358.63,326.76,341.16,2612883
2/25/26,345.99,365.90,345.68,353.33,2348344
2/24/26,341.00,348.28,334.91,342.70,2270180
2/23/26,332.86,346.55,330.20,344.84,2197402
2/20/26,317.04,340.27,314.69,334.95,2527668
2/19/26,308.88,320.42,303.55,318.41,2389495
2/18/26,302.72,317.28,299.96,310.96,2223837
2/17/26,297.91,307.63,286.81,302.33,2182171
2/13/26,293.83,304.18,270.00,303.92,3088177
2/12/26,300.00,305.00,284.15,292.96,2871527
2/11/26,307.28,308.81,286.55,297.25,3525878
2/10/26,288.08,298.99,280.04,298.70,2274468
2/9/26,270.70,297.01,266.61,289.68,4303788
2/6/26,262.65,273.00,251.26,271.32,33471360
2/5/26,242.64,261.00,238.57,252.98,3316187
2/4/26,277.05,285.97,248.97,253.50,5577101
2/3/26,276.55,284.79,266.20,276.52,3186562
2/2/26,247.93,271.21,246.03,268.49,2534015
1/30/26,254.01,269.90,247.47,251.81,3246929
1/29/26,257.00,259.83,241.68,253.53,2262449
1/28/26,247.52,258.43,244.74,257.30,2072972
1/27/26,239.90,247.75,236.18,247.52,1971261
1/26/26,230.00,242.00,225.71,232.23,1471885
1/23/26,229.16,232.03,220.52,229.14,1806218
1/22/26,236.62,239.12,222.87,230.03,2094952
1/21/26,241.52,242.00,226.82,231.89,2884938
1/20/26,229.15,246.21,227.37,241.21,2738165
1/16/26,247.09,253.90,241.55,243.42,2056229
1/15/26,245.00,252.20,243.35,243.79,1747677
1/14/26,244.91,245.80,233.17,238.38,1776694
1/13/26,234.90,249.96,234.26,246.42,1699219
1/12/26,227.59,234.27,223.50,234.26,2240021
1/9/26,219.28,230.86,216.07,230.56,2772432
1/8/26,258.26,259.00,221.14,225.21,4574054
1/7/26,253.00,261.13,248.99,259.27,3220749
1/6/26,230.20,254.82,221.12,254.19,3456173
1/5/26,250.34,252.60,223.27,230.90,3215877
1/2/26,241.00,248.50,237.62,246.06,1985028
12/31/25,239.08,239.90,232.41,233.87,1170437
12/30/25,240.17,240.50,236.83,238.36,1162997
12/29/25,237.26,241.23,230.13,239.00,1755855
12/26/25,240.90,242.51,238.43,241.68,946948
12/24/25,240.59,242.00,237.93,240.28,833187
12/23/25,234.75,243.00,234.75,240.29,1802104
12/22/25,235.00,239.38,230.40,236.75,2811431
12/19/25,212.74,231.35,212.42,230.34,4528342
12/18/25,212.00,215.47,209.00,210.71,3057063
12/17/25,212.85,215.70,201.70,203.90,2365593
12/16/25,214.46,215.44,206.54,209.84,2727491
12/15/25,220.84,226.02,215.60,216.18,2686549
12/12/25,236.00,237.91,215.18,218.44,4664456
12/11/25,236.35,248.00,222.45,242.37,8607334
12/10/25,216.50,226.24,214.40,221.85,3822244
12/9/25,212.93,219.88,212.28,214.35,3288538
12/8/25,205.00,213.03,203.00,212.93,3774979
12/5/25,199.63,201.77,194.85,201.71,2332252
12/4/25,190.56,197.76,190.01,195.73,2447334
12/3/25,201.00,202.22,186.39,193.35,3809096
12/2/25,204.03,209.19,198.01,202.50,2282793
12/1/25,194.49,201.44,192.20,200.92,2303788
11/28/25,203.80,204.59,201.00,204.21,1262367
11/26/25,197.36,203.17,195.82,200.29,2033251
11/25/25,191.51,196.24,187.55,196.24,2114001
11/24/25,183.05,196.52,182.18,194.70,14026590
11/21/25,175.97,179.00,168.22,178.26,3812615
11/20/25,198.11,202.60,175.43,176.45,3939225
11/19/25,187.93,192.35,184.67,188.78,2725935
11/18/25,189.03,191.84,182.89,187.00,3498822
11/17/25,190.80,196.40,188.04,191.78,3143581
11/14/25,184.05,195.91,183.08,191.71,5734247
11/13/25,206.99,207.83,191.81,194.21,3621692
11/12/25,209.94,211.07,206.08,209.52,2188774
11/11/25,204.53,208.25,200.75,207.43,2880073
11/10/25,206.80,214.17,205.16,208.74,3523332
11/7/25,193.00,201.34,190.15,199.26,3331092
11/6/25,199.41,203.40,195.25,201.46,2830103
11/5/25,183.99,196.99,182.49,195.81,2782498
11/4/25,182.53,188.77,177.41,182.87,3044936
11/3/25,193.34,194.41,187.93,189.56,1725688
10/31/25,189.59,193.03,185.27,189.92,2146403
10/30/25,188.17,193.74,186.13,188.96,1940986
