"Date","Open","High","Low","Close","Volume"
"04/28/2026","0.7121","0.7249","0.7112","0.7214","2,318,942"
"04/27/2026","0.7212","0.749","0.7171","0.7228","20,875,240"
"04/24/2026","0.7388","0.7388","0.7","0.7297","24,059,180"
"04/23/2026","0.7555","0.76","0.72","0.7386","22,240,180"
"04/22/2026","0.73","0.7734","0.73","0.7677","28,455,650"
"04/21/2026","0.741","0.78","0.7118","0.72","35,477,840"
"04/20/2026","0.7499","0.7499","0.72","0.7375","23,183,210"
"04/17/2026","0.8561","0.8599","0.755","0.758","57,568,750"
"04/16/2026","0.723","0.848","0.716","0.8375","91,317,440"
"04/15/2026","0.6953","0.707","0.68","0.7001","19,663,880"
"04/14/2026","0.7155","0.729","0.683","0.6914","26,801,300"
"04/13/2026","0.6739","0.7083","0.6602","0.6984","14,445,940"
"04/10/2026","0.6844","0.7045","0.665","0.6779","22,173,730"
"04/09/2026","0.692","0.6994","0.66","0.66","25,521,840"
"04/08/2026","0.742","0.756","0.69","0.69","35,631,110"
"04/07/2026","0.7055","0.7272","0.6802","0.6955","29,453,790"
"04/06/2026","0.7137","0.7499","0.6927","0.7351","35,940,340"
"04/02/2026","0.6411","0.73","0.63","0.7211","37,859,750"
"04/01/2026","0.6528","0.6995","0.6401","0.6784","54,956,210"
"03/31/2026","0.5592","0.639","0.559","0.6183","31,685,310"
"03/30/2026","0.5875","0.59","0.553","0.555","26,853,290"
"03/27/2026","0.5965","0.6","0.5544","0.5693","40,670,000"
"03/26/2026","0.6411","0.65","0.6002","0.6091","38,182,620"
"03/25/2026","0.638","0.64","0.6035","0.61","34,183,380"
"03/24/2026","0.6464","0.6641","0.61","0.6286","54,885,700"
"03/23/2026","0.6938","0.6999","0.6095","0.6567","68,025,960"
"03/20/2026","0.7825","0.7825","0.68","0.68","61,370,980"
"03/19/2026","0.7924","0.8236","0.69","0.7969","116,411,200"
"03/18/2026","0.9199","0.99","0.857","0.9298","172,680,700"
