Date,Close/Last,Volume,Open,High,Low
04/30/2026,$1840.25,573115,$1749.125,$1855.425,$1749.125
04/29/2026,$1724.14,353946,$1720.20,$1756.35,$1713.21
04/28/2026,$1719.21,386897,$1740.00,$1775.4933,$1680.51
04/27/2026,$1794.04,492355,$1744.60,$1804.9998,$1685.00
04/24/2026,$1726.12,834843,$1774.14,$1829.66,$1676.7601
04/23/2026,$1773.91,604874,$1731.75,$1798.96,$1731.75
04/22/2026,$1724.49,368628,$1715.00,$1730.26,$1677.09
04/21/2026,$1674.16,364786,$1705.29,$1719.00,$1661.91
04/20/2026,$1680.09,256886,$1646.33,$1685.00,$1635.20
04/17/2026,$1650.47,435071,$1623.21,$1654.29,$1605.00
04/16/2026,$1605.97,287110,$1655.20,$1655.20,$1584.27
04/15/2026,$1648.96,333873,$1642.90,$1659.3912,$1598.47
04/14/2026,$1650.48,375188,$1645.00,$1671.95,$1617.01
04/13/2026,$1627.81,426438,$1582.87,$1635.58,$1582.87
04/10/2026,$1592.84,241351,$1592.45,$1614.00,$1567.00
04/09/2026,$1574.45,363819,$1531.51,$1601.8999,$1531.51
04/08/2026,$1525.16,435405,$1510.00,$1547.53,$1501.32
04/07/2026,$1424.91,231418,$1433.67,$1447.80,$1400.00
04/06/2026,$1434.09,233386,$1417.19,$1435.8399,$1394.984
04/02/2026,$1417.19,283465,$1378.03,$1464.59,$1368.00
04/01/2026,$1428.52,426446,$1393.75,$1465.44,$1393.75
03/31/2026,$1378.99,450861,$1299.52,$1381.02,$1298.34
03/30/2026,$1273.18,559634,$1385.33,$1398.87,$1255.00
03/27/2026,$1366.77,296519,$1366.20,$1390.00,$1346.70
03/26/2026,$1358.66,420959,$1446.55,$1455.8399,$1346.00
03/25/2026,$1470.64,279973,$1479.15,$1495.46,$1461.52
03/24/2026,$1461.52,572359,$1412.07,$1472.42,$1387.5701
03/23/2026,$1408.25,574241,$1367.54,$1456.00,$1358.86
03/20/2026,$1356.75,933571,$1425.42,$1450.05,$1346.07
03/19/2026,$1444.60,415640,$1384.60,$1463.166,$1371.15
03/18/2026,$1423.00,425405,$1438.71,$1462.00,$1422.92
03/17/2026,$1424.46,238672,$1410.10,$1432.79,$1397.02
03/16/2026,$1414.10,289033,$1392.05,$1421.08,$1391.07
03/13/2026,$1365.34,280196,$1396.02,$1418.00,$1358.00
03/12/2026,$1373.76,301534,$1390.84,$1405.8599,$1353.82
03/11/2026,$1407.32,319160,$1384.42,$1436.07,$1362.01
03/10/2026,$1383.62,390098,$1384.99,$1409.99,$1372.40
03/09/2026,$1372.40,600531,$1246.74,$1373.65,$1225.24
03/06/2026,$1279.06,557235,$1290.00,$1327.68,$1270.69
03/05/2026,$1348.22,554172,$1408.85,$1415.99,$1287.91
03/04/2026,$1430.38,390634,$1407.61,$1441.00,$1380.22
03/03/2026,$1391.16,614997,$1412.00,$1412.00,$1344.03
03/02/2026,$1438.24,388421,$1405.52,$1439.12,$1389.54
02/27/2026,$1429.37,489674,$1418.71,$1441.62,$1395.84
02/26/2026,$1438.23,456339,$1453.29,$1457.755,$1377.60
02/25/2026,$1450.60,406229,$1468.00,$1500.00,$1442.5101
02/24/2026,$1468.58,507477,$1410.17,$1480.97,$1375.00
02/23/2026,$1413.57,734712,$1463.00,$1465.49,$1387.54
02/20/2026,$1462.23,923639,$1414.51,$1476.94,$1390.00
02/19/2026,$1373.52,696527,$1322.90,$1377.50,$1302.00
02/18/2026,$1319.47,458518,$1344.04,$1372.00,$1314.22
02/17/2026,$1337.75,425280,$1317.89,$1364.88,$1307.645
02/13/2026,$1337.95,297778,$1313.00,$1355.00,$1276.87
02/12/2026,$1300.02,505807,$1346.25,$1399.00,$1298.97
02/11/2026,$1338.65,461795,$1314.30,$1364.9499,$1306.78
02/10/2026,$1269.63,308593,$1280.12,$1295.00,$1250.0001
02/09/2026,$1283.65,356265,$1228.85,$1299.94,$1219.05
02/06/2026,$1230.26,279177,$1175.00,$1230.49,$1175.00
02/05/2026,$1147.97,462843,$1119.80,$1162.345,$1097.41
02/04/2026,$1119.81,625942,$1200.00,$1214.42,$1075.3619
02/03/2026,$1209.97,357386,$1195.00,$1220.00,$1174.85
02/02/2026,$1176.26,329691,$1142.78,$1178.43,$1138.06
01/30/2026,$1142.10,312126,$1155.70,$1186.15,$1131.22
01/29/2026,$1171.46,306142,$1180.19,$1200.325,$1145.00
01/28/2026,$1169.05,299186,$1165.38,$1179.00,$1147.6301
01/27/2026,$1160.38,268204,$1138.85,$1167.99,$1123.48
01/26/2026,$1127.55,272062,$1126.51,$1148.24,$1117.83
01/23/2026,$1121.44,271899,$1131.70,$1136.90,$1105.39
01/22/2026,$1131.70,368353,$1170.00,$1177.87,$1101.10
01/21/2026,$1148.00,414877,$1141.12,$1158.3516,$1115.00
01/20/2026,$1134.75,545071,$1098.84,$1140.68,$1092.00
01/16/2026,$1119.98,507535,$1107.00,$1147.03,$1103.055
01/15/2026,$1091.04,408186,$1090.25,$1114.61,$1075.00
01/14/2026,$1053.10,404012,$1065.04,$1079.2683,$1024.121
01/13/2026,$1073.14,378741,$1039.12,$1078.70,$1039.12
01/12/2026,$1038.18,528262,$1010.00,$1046.00,$1000.00
01/09/2026,$1010.41,363196,$977.97,$1022.11,$977.6725
01/08/2026,$971.49,512852,$1035.12,$1040.00,$959.80
01/07/2026,$1035.12,441748,$1028.69,$1048.43,$1005.68
01/06/2026,$1035.11,648393,$1024.73,$1035.11,$952.739
01/05/2026,$1032.31,435117,$1020.51,$1050.45,$1020.51
01/02/2026,$1003.64,395974,$938.40,$1004.96,$938.40
12/31/2025,$933.29,192798,$950.51,$954.9499,$932.33
12/30/2025,$946.93,216200,$950.67,$958.06,$944.23
12/29/2025,$950.67,259472,$953.94,$964.68,$943.50
12/26/2025,$963.83,170536,$961.66,$967.08,$953.30
12/24/2025,$958.07,155010,$964.03,$964.7199,$953.00
12/23/2025,$965.37,327851,$948.33,$970.00,$946.23
12/22/2025,$950.79,452041,$955.10,$974.345,$943.87
12/19/2025,$940.74,8010017,$929.05,$952.839,$922.05
12/18/2025,$918.54,512532,$908.00,$926.475,$896.19
12/17/2025,$883.79,800096,$970.30,$976.62,$878.59
12/16/2025,$968.50,428441,$985.10,$985.10,$953.135
12/15/2025,$968.48,400289,$962.86,$986.20,$961.40
12/12/2025,$967.95,869453,$1011.69,$1023.87,$912.40
12/11/2025,$1024.92,438865,$1016.395,$1025.40,$975.05
12/10/2025,$1021.36,401795,$993.41,$1028.95,$968.30
12/09/2025,$983.61,345201,$983.90,$997.83,$978.00
12/08/2025,$989.48,647827,$1008.65,$1036.665,$986.11
12/05/2025,$1001.48,381358,$1008.08,$1014.78,$977.1742
12/04/2025,$1004.65,518454,$950.00,$1006.60,$940.00
12/03/2025,$949.30,300466,$935.00,$953.49,$910.05
12/02/2025,$935.78,465932,$972.59,$988.68,$934.95
12/01/2025,$961.20,402502,$961.01,$964.95,$946.50
11/28/2025,$976.94,172479,$979.65,$980.92,$965.05
11/26/2025,$970.95,342429,$962.00,$982.92,$960.27
11/25/2025,$957.04,377741,$936.78,$957.26,$910.0167
11/24/2025,$945.07,3206195,$923.89,$958.83,$910.09
11/21/2025,$894.08,535390,$878.96,$896.515,$850.00
11/20/2025,$876.19,650447,$954.86,$975.56,$869.88
11/19/2025,$930.50,348644,$929.74,$949.95,$911.0001
11/18/2025,$920.99,353835,$901.44,$936.91,$895.78
11/17/2025,$919.82,401631,$914.80,$937.78,$905.05
11/14/2025,$909.60,589449,$861.505,$931.385,$841.66
11/13/2025,$897.52,654855,$963.47,$974.75,$892.35
11/12/2025,$973.18,309918,$961.69,$981.00,$957.79
11/11/2025,$954.53,223349,$957.88,$974.95,$942.00
11/10/2025,$974.14,279905,$978.11,$994.00,$965.05
11/07/2025,$955.26,488573,$937.44,$956.85,$910.10
11/06/2025,$957.78,305494,$986.34,$992.0143,$948.0101
11/05/2025,$987.78,319258,$963.33,$997.31,$956.06
11/04/2025,$955.96,398049,$956.99,$967.38,$925.05
11/03/2025,$977.67,235822,$975.94,$982.69,$960.3001
10/31/2025,$965.58,313447,$969.30,$987.1996,$951.18
10/30/2025,$963.30,509288,$994.44,$1020.26,$957.16
10/29/2025,$1010.64,383332,$990.99,$1019.73,$990.99
10/28/2025,$980.97,357242,$975.00,$989.24,$966.435
10/27/2025,$976.45,484950,$998.76,$1007.67,$965.75
10/24/2025,$981.66,1052128,$955.00,$1002.64,$950.00
10/23/2025,$825.00,652993,$791.36,$836.3233,$791.36
10/22/2025,$790.72,685169,$839.24,$847.6762,$770.47
10/21/2025,$829.36,331685,$832.12,$835.00,$812.09
10/20/2025,$836.75,259282,$842.49,$854.46,$832.26
10/17/2025,$827.92,388740,$827.98,$841.90,$810.00
10/16/2025,$838.78,316698,$846.79,$849.23,$827.64
10/15/2025,$837.11,480719,$850.00,$850.59,$827.18
10/14/2025,$831.89,338541,$829.71,$851.50,$813.70
10/13/2025,$845.99,240298,$843.86,$861.77,$832.40
10/10/2025,$816.07,312486,$839.72,$858.55,$815.11
10/09/2025,$834.70,240653,$844.62,$846.8875,$821.55
10/08/2025,$844.62,244320,$824.96,$851.64,$816.94
10/07/2025,$816.53,349423,$832.85,$836.885,$796.00
10/06/2025,$825.42,245898,$829.72,$842.96,$823.25
10/03/2025,$818.01,285378,$838.10,$840.7809,$816.00
10/02/2025,$832.98,304981,$835.89,$852.3099,$820.00
10/01/2025,$834.33,296665,$813.07,$843.80,$811.745
09/30/2025,$825.18,309489,$807.84,$827.965,$805.26
09/29/2025,$801.80,300314,$814.59,$823.50,$799.42
09/26/2025,$804.36,287867,$784.61,$807.97,$780.00
09/25/2025,$781.88,469681,$776.29,$789.67,$757.00
09/24/2025,$791.46,284447,$811.19,$817.3364,$787.87
09/23/2025,$804.24,333074,$818.43,$825.00,$795.05
09/22/2025,$821.62,424599,$792.53,$824.29,$791.205
09/19/2025,$797.71,685944,$798.90,$802.63,$782.86
09/18/2025,$799.38,366279,$768.09,$806.58,$767.33
09/17/2025,$762.91,533169,$781.10,$782.70,$757.875
09/16/2025,$777.18,406094,$780.52,$785.23,$768.9199
09/15/2025,$782.05,397385,$758.00,$782.46,$755.00
09/12/2025,$753.69,301670,$762.48,$770.18,$751.85
09/11/2025,$764.91,559842,$763.68,$772.22,$755.00
09/10/2025,$752.10,616802,$726.79,$757.12,$721.87
09/09/2025,$709.53,311850,$717.15,$717.50,$698.0564
09/08/2025,$715.87,337916,$712.00,$718.3899,$703.75
09/05/2025,$706.31,523759,$721.34,$727.00,$682.00
09/04/2025,$723.95,343835,$706.95,$724.585,$701.88
09/03/2025,$700.69,320666,$701.19,$705.9199,$696.3901
09/02/2025,$698.61,363101,$687.00,$700.23,$670.19
08/29/2025,$703.38,375267,$729.06,$729.06,$691.45
08/28/2025,$730.01,366394,$713.97,$732.795,$710.07
08/27/2025,$709.83,388109,$704.50,$717.235,$703.00
08/26/2025,$707.39,430206,$692.53,$708.9973,$691.265
08/25/2025,$691.18,219063,$690.97,$699.9999,$684.36
08/22/2025,$689.48,526212,$695.96,$716.894,$688.405
08/21/2025,$694.00,311834,$679.78,$695.17,$678.40
08/20/2025,$681.08,418878,$674.67,$685.07,$655.9629
08/19/2025,$683.93,372522,$692.82,$694.39,$681.575
08/18/2025,$695.76,266828,$680.86,$695.76,$678.40
08/15/2025,$680.86,408945,$689.32,$701.9999,$671.70
08/14/2025,$689.86,432748,$693.31,$708.2199,$688.25
08/13/2025,$702.10,662209,$725.21,$733.245,$682.66
08/12/2025,$718.61,379798,$696.81,$720.00,$689.3301
08/11/2025,$693.31,251884,$694.06,$695.30,$687.40
08/08/2025,$691.76,376166,$699.51,$708.73,$684.07
08/07/2025,$694.43,256878,$697.77,$700.00,$685.00
08/06/2025,$690.45,301794,$691.45,$694.68,$680.28
08/05/2025,$691.45,354064,$705.00,$711.00,$682.495
08/04/2025,$699.16,412788,$706.72,$706.72,$684.69
08/01/2025,$695.30,552425,$681.23,$705.945,$667.01
07/31/2025,$703.30,686604,$711.12,$718.40,$698.425
07/30/2025,$702.97,433747,$693.95,$705.075,$687.6001
07/29/2025,$687.67,469503,$698.35,$708.57,$683.00
07/28/2025,$692.97,736593,$697.00,$709.3999,$677.62
07/25/2025,$688.74,1254317,$665.30,$699.39,$648.23
07/24/2025,$562.83,511007,$551.75,$565.02,$543.245
07/23/2025,$547.91,340745,$538.73,$554.96,$538.26
07/22/2025,$532.14,385702,$544.25,$544.25,$513.99
07/21/2025,$544.95,205246,$553.37,$556.1799,$543.48
07/18/2025,$554.18,227173,$552.84,$559.36,$547.99
07/17/2025,$550.50,326423,$549.27,$555.25,$544.44
07/16/2025,$546.63,303210,$541.75,$549.83,$535.6178
07/15/2025,$539.02,241739,$550.31,$550.31,$535.00
07/14/2025,$542.95,316756,$539.50,$549.20,$534.48
07/11/2025,$539.50,263895,$532.60,$543.035,$530.02
07/10/2025,$533.77,359088,$535.00,$539.4636,$517.0282
07/09/2025,$535.02,407367,$535.67,$541.265,$529.235
07/08/2025,$527.42,382595,$540.90,$544.00,$519.99
07/07/2025,$541.48,280769,$541.25,$549.22,$536.185
07/03/2025,$540.98,162349,$529.07,$543.7356,$529.07
07/02/2025,$529.90,284108,$518.74,$531.48,$517.5824
07/01/2025,$521.66,365873,$531.33,$536.12,$510.00
06/30/2025,$536.21,424600,$535.10,$541.545,$530.6643
06/27/2025,$535.00,503137,$520.42,$536.44,$517.2801
06/26/2025,$516.08,246458,$513.77,$517.915,$512.18
06/25/2025,$507.60,222816,$516.96,$520.23,$507.57
06/24/2025,$513.32,317192,$509.28,$516.285,$504.75
06/23/2025,$502.98,291786,$497.57,$504.16,$489.9825
06/20/2025,$500.02,770925,$500.57,$503.47,$491.50
06/18/2025,$499.02,465409,$495.25,$508.71,$495.25
06/17/2025,$495.37,356775,$496.21,$504.30,$493.105
06/16/2025,$500.91,258761,$497.89,$511.09,$497.1404
06/13/2025,$492.72,335648,$495.83,$499.40,$489.54
06/12/2025,$501.25,188086,$491.75,$501.64,$491.75
06/11/2025,$496.70,244711,$490.50,$499.775,$486.73
06/10/2025,$487.71,506501,$501.29,$502.4892,$469.16
06/09/2025,$501.33,502863,$509.14,$509.91,$497.22
06/06/2025,$510.52,340977,$505.67,$511.28,$500.17
06/05/2025,$499.13,248839,$501.00,$504.49,$491.81
06/04/2025,$498.63,271282,$495.89,$502.6999,$493.585
06/03/2025,$496.78,426308,$480.31,$498.86,$480.31
06/02/2025,$477.08,325238,$474.80,$478.21,$465.05
05/30/2025,$478.23,322393,$478.00,$480.6699,$466.8902
05/29/2025,$478.83,255050,$482.55,$487.16,$470.68
05/28/2025,$476.92,431196,$486.52,$488.13,$474.22
05/27/2025,$485.40,462589,$483.43,$490.36,$473.58
05/23/2025,$471.50,261780,$452.68,$475.00,$452.65
05/22/2025,$462.24,306398,$461.47,$468.015,$452.04
05/21/2025,$465.25,243802,$465.13,$476.72,$462.4266
05/20/2025,$472.57,287855,$467.98,$475.67,$467.98
05/19/2025,$470.24,241820,$462.455,$471.68,$461.33
05/16/2025,$471.97,316405,$466.91,$472.9745,$461.7101
05/15/2025,$463.37,445480,$464.00,$470.01,$460.94
05/14/2025,$467.51,527783,$474.36,$475.00,$465.29
05/13/2025,$465.23,557902,$455.41,$471.74,$453.44
05/12/2025,$451.86,246487,$455.85,$458.85,$446.775
05/09/2025,$434.88,286289,$441.70,$443.21,$430.785
05/08/2025,$439.15,369073,$439.11,$449.5666,$435.2682
05/07/2025,$432.16,336096,$428.97,$433.6724,$422.53
05/06/2025,$428.97,213430,$430.47,$435.275,$426.965
05/05/2025,$435.29,318049,$428.56,$438.40,$428.56
05/02/2025,$432.10,444577,$420.88,$439.33,$420.88
05/01/2025,$418.05,640263,$410.31,$429.35,$408.957
