"Date","Open","High","Low","Close","Volume"
"04/28/2026","109.85","111.09","108.93","109.84","171,517"
"04/27/2026","111.16","114.58","110.73","110.93","3,704,112"
"04/24/2026","105.84","112.8","105.275","111.57","3,685,129"
"04/23/2026","105.1","107.1399","104.07","106.05","1,687,978"
"04/22/2026","109.92","110.09","106.145","106.61","3,390,148"
"04/21/2026","109.57","111.695","108.365","109.5","2,082,970"
"04/20/2026","108.54","111.17","108.34","109.63","1,680,481"
"04/17/2026","112.45","112.7","108.971","110.08","5,473,816"
"04/16/2026","110.8","112.805","106.36","109.06","5,427,436"
"04/15/2026","108.695","112.395","108.39","111.79","1,932,651"
"04/14/2026","106.68","108.38","105.73","106.76","2,579,750"
"04/13/2026","100.87","106.62","100.05","105.33","2,563,169"
"04/10/2026","107.13","107.39","101.19","102.38","2,711,869"
"04/09/2026","107.09","107.38","102.37","105.25","3,055,153"
"04/08/2026","109.43","110.66","108.15","109.51","2,674,024"
"04/07/2026","104.15","106.2875","103.22","103.63","2,184,781"
"04/06/2026","106","107.13","102.88","104.67","1,704,046"
"04/02/2026","100.29","106.54","99.29","106.38","2,475,840"
"04/01/2026","103.48","103.91","100.525","102.73","2,116,535"
"03/31/2026","100.91","103.73","99.95","101.95","3,603,765"
"03/30/2026","100.06","102.46","98.875","99.5","2,887,572"
"03/27/2026","102.87","103.57","100.21","100.5","3,094,067"
"03/26/2026","102.22","105.23","102.01","103.57","2,206,601"
"03/25/2026","109.54","111.72","103.16","103.4","3,870,399"
"03/24/2026","107.74","109.29","105.5","107.83","2,477,133"
"03/23/2026","114.85","114.85","109.21","109.38","3,312,354"
"03/20/2026","105.88","107.15","103.855","104.81","3,816,026"
"03/19/2026","105.96","108.06","104.6","106.41","1,725,053"
"03/18/2026","108.01","110.13","106.5","106.5","2,483,999"
"03/17/2026","108.95","112.08","108.83","109.25","3,246,586"
"03/16/2026","106.54","109.58","104.975","108.67","2,847,628"
"03/13/2026","107.11","110.1","106.5","108.37","2,584,317"
"03/12/2026","109.93","112.2","105.35","105.53","5,866,061"
"03/11/2026","109.16","110.24","105.11","109.59","3,281,484"
"03/10/2026","109.53","109.75","104.56","107.25","3,368,143"
"03/09/2026","108.87","110.28","105.76","109.41","3,756,520"
"03/06/2026","112.5","115.48","110.33","112.25","3,671,126"
"03/05/2026","112.81","115.02","111.74","114.57","2,612,841"
"03/04/2026","112.5","113.37","109.32","112.68","3,304,682"
"03/03/2026","104.1","113.76","103.24","111.4","4,842,775"
"03/02/2026","103.61","106.46","100.3801","106.08","7,063,767"
"02/27/2026","110.04","111.1","99.96","106.14","21,975,490"
"02/26/2026","123","124.82","119.73","123.13","6,174,395"
"02/25/2026","119.1","120.59","116.29","119.84","5,263,182"
"02/24/2026","116.42","120.54","114.74","118.39","3,153,454"
"02/23/2026","120.05","120.8","114.93","115.42","3,334,553"
"02/20/2026","121.67","123.63","119.915","121.02","2,915,541"
"02/19/2026","125.1","126.36","119.47","122.16","4,893,379"
"02/18/2026","122.34","128.585","122.34","126.08","6,318,228"
"02/17/2026","126.13","126.74","122.985","123.91","3,527,946"
"02/13/2026","136.67","137.87","122.55","125.17","8,684,263"
"02/12/2026","145.45","148.4","140.9","141.37","2,759,513"
"02/11/2026","150","150.92","143.56","144.28","3,071,006"
"02/10/2026","155.9","156.95","151.08","151.63","5,026,630"
"02/09/2026","152.46","156.2","152.46","154.51","20,767,020"
"02/06/2026","149.91","153.45","149.66","152.53","2,077,114"
"02/05/2026","153.02","153.585","148.1","149.47","3,124,228"
"02/04/2026","157.31","159.91","151.88","153.9","3,180,465"
"02/03/2026","160.82","162.2575","150.755","153.2","3,429,197"
