"Date","Open","High","Low","Close","Volume"
"04/28/2026","91.5","91.63","90.02","90.6574","5,601,295"
"04/27/2026","92.05","92.84","91.3","91.37","29,707,440"
"04/24/2026","92.57","93.28","91.8","92.44","32,553,180"
"04/23/2026","94.06","94.64","92.073","92.82","36,851,670"
"04/22/2026","93.06","93.85","92.77","93.24","33,694,350"
"04/21/2026","94","94.65","92.37","92.58","61,962,280"
"04/20/2026","97.14","97.6","93.54","94.83","63,298,260"
"04/17/2026","96.37","98.74","95.1","97.31","125,958,700"
"04/16/2026","107.47","108.945","106.6201","107.79","64,928,250"
"04/15/2026","105.98","107.85","105.04","107.71","38,023,680"
"04/14/2026","103.12","106.57","103.04","106.28","40,534,870"
"04/13/2026","103.032","103.665","102.06","103.16","26,042,800"
"04/10/2026","102.47","103.08","101.46","103.01","25,769,910"
"04/09/2026","99.63","102.34","99.08","102.05","35,087,760"
"04/08/2026","100.32","100.4","97.44","99.39","30,957,620"
"04/07/2026","98.55","99.875","98.25","98.82","25,016,720"
"04/06/2026","100.96","102.685","97.97","98.93","37,029,330"
"04/02/2026","95.27","98.71","95.17","98.66","37,068,020"
"04/01/2026","96.47","97.2","94.264","95.55","30,439,310"
"03/31/2026","93.03","96.26","93.03","96.15","54,269,960"
"03/30/2026","92.75","94.49","92.22","92.97","32,375,140"
"03/27/2026","94.57","95.5799","92.74","93.43","44,590,670"
"03/26/2026","91.52","95.86","91.01","93.32","59,522,030"
"03/25/2026","91.71","92.52","91.235","92.28","29,545,630"
"03/24/2026","92.79","93.7398","90.815","90.92","28,938,030"
"03/23/2026","92.04","93.98","91.86","93.38","34,315,870"
"03/20/2026","91.31","91.88","90.69","91.82","61,678,010"
"03/19/2026","94.31","95.75","90.775","91.74","40,169,250"
"03/18/2026","94.445","95.335","93.61","94.7","27,878,320"
"03/17/2026","95.3","96.34","94.01","94.36","26,434,500"
"03/16/2026","95.58","96.1","94.36","95.2","34,931,830"
"03/13/2026","94.64","95.68","94.24","95.31","29,876,660"
"03/12/2026","94.86","95.4","93.87","94.31","34,206,860"
"03/11/2026","97.41","98","94.685","94.89","33,962,860"
"03/10/2026","97.805","98.49","96.29","96.94","41,027,160"
"03/09/2026","97.7","98.94","96.58","98.32","48,589,010"
"03/06/2026","99.33","99.88","97.4","99.02","41,196,290"
"03/05/2026","98.5","100.19","98.1","99.17","53,403,050"
"03/04/2026","97.105","99.75","96.99","98.66","52,604,270"
"03/03/2026","96.01","98.46","95.33","97.7","59,149,000"
"03/02/2026","95.26","98.07","95.2","97.09","79,915,360"
"02/27/2026","94.295","96.75","90.58","96.24","200,767,000"
"02/26/2026","83.2","86.5","82.8","84.59","85,642,490"
"02/25/2026","79.43","83.117","79.25","82.7","69,319,330"
"02/24/2026","75.73","78.12","75.21","78.04","33,079,060"
"02/23/2026","77.79","77.83","75.01","76.02","38,363,020"
"02/20/2026","76.61","78.85","76.4","78.67","32,411,320"
"02/19/2026","77.75","78.7","76.59","77","30,139,200"
"02/18/2026","77.32","78.32","76.28","77.99","29,883,110"
"02/17/2026","76.92","77.87","75.3","77","35,961,510"
"02/13/2026","76.14","77.18","75.53","76.87","42,292,080"
