Date,Open,High,Low,Close,Volume
4/30/26,209.93,210.30,198.70,199.57,225239200
4/29/26,212.70,212.72,207.58,209.25,123711800
4/28/26,209.49,214.73,208.20,213.17,180275400
4/27/26,209.65,216.83,207.38,216.61,187172400
4/24/26,199.96,210.95,199.81,208.27,214134400
4/23/26,202.46,203.83,197.22,199.64,113561800
4/22/26,200.99,202.50,199.00,202.50,107501000
4/21/26,202.13,202.75,199.00,199.88,107945300
4/20/26,199.98,202.17,197.84,202.06,119381400
4/17/26,199.90,201.70,199.27,201.68,160324400
4/16/26,197.43,199.85,195.81,198.35,134012900
4/15/26,196.54,200.40,195.74,198.87,185338400
4/14/26,190.84,196.51,190.77,196.51,161307000
4/13/26,186.03,189.66,185.74,189.31,133648200
4/10/26,184.31,190.00,184.30,188.63,160459500
4/9/26,181.84,184.08,180.62,183.91,116428500
4/8/26,184.50,185.26,180.30,182.08,147732700
4/7/26,175.73,178.23,173.66,178.10,132534900
4/6/26,177.16,177.79,175.76,177.64,107564300
4/2/26,172.18,177.49,171.37,177.39,143143200
4/1/26,176.00,177.37,174.75,175.75,168132000
3/31/26,166.97,174.62,166.96,174.40,226181300
3/30/26,168.78,169.45,164.27,165.17,185627000
3/27/26,170.00,170.97,167.01,167.52,196212700
3/26/26,176.07,176.51,171.14,171.24,186152200
3/25/26,177.10,181.22,176.85,178.68,162602100
3/24/26,174.83,176.22,173.98,175.20,147667800
3/23/26,177.26,178.37,174.76,175.64,182836300
3/20/26,178.00,178.26,171.72,172.70,241323500
3/19/26,178.01,179.98,175.79,178.56,170968500
3/18/26,182.48,183.38,180.33,180.40,156683100
3/17/26,185.06,185.40,181.68,181.93,182497800
3/16/26,182.97,188.88,181.41,183.22,217307400
3/13/26,184.92,186.09,179.94,180.25,160988400
3/12/26,184.05,184.94,181.75,183.14,155762700
3/11/26,185.91,187.62,184.45,186.03,145280400
3/10/26,182.40,186.44,182.01,184.77,179118500
3/9/26,176.83,182.91,175.56,182.65,177213600
3/6/26,179.84,182.76,176.82,177.82,189021900
3/5/26,181.17,184.06,177.88,183.34,198779700
3/4/26,180.44,184.70,180.06,183.04,177731200
3/3/26,178.49,180.90,176.92,180.05,178099400
3/2/26,175.01,183.46,174.64,182.48,209095300
2/27/26,181.25,182.59,176.38,177.19,311636500
2/26/26,194.27,194.29,184.32,184.89,360807900
2/25/26,194.45,197.63,193.79,195.56,250637100
2/24/26,191.49,193.77,187.40,192.85,175123600
2/23/26,191.40,193.95,189.58,191.55,171584800
2/20/26,186.57,190.33,185.94,189.82,178422300
2/19/26,187.06,188.43,185.66,187.90,126554500
2/18/26,188.75,190.37,186.76,187.98,164749100
2/17/26,181.75,187.15,179.18,184.97,162276900
2/13/26,187.48,187.50,181.59,182.81,161888000
2/12/26,193.03,193.61,186.51,186.94,189932500
2/11/26,192.45,193.26,188.77,190.05,144192700
2/10/26,191.38,192.48,188.12,188.54,136764800
2/9/26,184.26,193.66,183.95,190.04,196387400
2/6/26,176.69,187.00,174.60,185.41,231346200
2/5/26,174.93,176.82,171.03,171.88,206312900
2/4/26,179.46,179.58,171.91,174.19,207014100
2/3/26,186.24,186.27,176.23,180.34,204019600
2/2/26,187.20,190.30,184.88,185.61,165794100
1/30/26,191.21,194.49,189.47,191.13,179489500
1/29/26,191.34,193.48,186.06,192.51,171764400
1/28/26,191.27,192.35,189.84,191.52,148552700
1/27/26,187.24,190.00,185.70,188.52,143711600
1/26/26,187.16,189.12,185.99,186.47,124799600
1/23/26,187.50,189.60,186.82,187.67,142748100
1/22/26,184.75,186.17,183.93,184.84,139636600
1/21/26,179.05,185.38,178.40,183.32,200381000
1/20/26,181.90,182.38,177.61,178.07,223345300
1/16/26,189.08,190.44,186.08,186.23,187967200
1/15/26,186.50,189.70,186.33,187.05,206188600
1/14/26,184.32,184.46,180.80,183.14,159586100
1/13/26,185.00,188.11,183.40,185.81,160128900
1/12/26,183.22,187.12,183.02,184.94,137968500
1/9/26,185.08,186.34,183.67,184.86,131327500
1/8/26,189.11,189.55,183.71,185.04,172457000
1/7/26,188.57,191.37,186.56,189.11,153543200
1/6/26,190.52,192.17,186.82,187.24,176862600
1/5/26,191.76,193.63,186.15,188.12,183529700
1/2/26,189.84,192.93,188.26,188.85,148240500
12/31/25,189.57,190.56,186.49,186.50,120100500
12/30/25,188.24,188.99,186.93,187.54,97687270
12/29/25,187.71,188.76,185.91,188.22,120006100
12/26/25,189.92,192.69,188.00,190.53,139740300
12/24/25,187.94,188.91,186.59,188.61,65528550
12/23/25,182.97,189.33,182.90,189.21,174873600
12/22/25,183.92,184.16,182.35,183.69,129064400
12/19/25,176.67,181.45,176.34,180.99,324925900
12/18/25,174.53,176.15,171.82,174.14,176096000
12/17/25,176.10,176.13,170.31,170.94,222775500
12/16/25,176.26,178.49,174.90,177.72,148588100
12/15/25,177.94,178.42,175.03,176.29,164775600
12/12/25,181.11,182.82,174.62,175.02,204274900
12/11/25,180.28,181.32,176.62,180.93,182136600
12/10/25,184.97,185.48,182.04,183.78,162785400
12/9/25,185.56,185.72,183.32,184.97,144719700
12/8/25,182.64,188.00,182.40,185.55,204378100
12/5/25,183.89,184.66,180.91,182.41,143971100
12/4/25,181.62,184.52,179.96,183.38,167364900
12/3/25,181.08,182.45,179.11,179.59,165138000
12/2/25,181.76,185.66,180.00,181.46,182632200
12/1/25,174.76,180.30,173.68,179.92,188131000
11/28/25,179.01,179.29,176.50,177.00,121332800
11/26/25,181.63,182.91,178.24,180.26,183852000
11/25/25,174.91,178.16,169.55,177.82,320600300
11/24/25,179.49,183.50,176.48,182.55,256618300
11/21/25,181.24,184.56,172.93,178.88,346926200
11/20/25,195.95,196.00,179.85,180.64,343504800
11/19/25,184.79,187.86,182.83,186.52,247246400
11/18/25,183.38,184.80,179.65,181.36,213598900
11/17/25,185.97,189.00,184.32,186.60,173628900
11/14/25,182.86,191.01,180.58,190.17,186591900
11/13/25,191.05,191.44,183.85,186.86,207423100
11/12/25,195.72,195.89,191.13,193.80,154935300
11/11/25,195.16,195.42,191.30,193.16,176483300
11/10/25,195.11,199.94,193.79,199.05,198897100
11/7/25,184.90,188.32,178.91,188.15,264942300
11/6/25,196.42,197.62,186.38,188.08,223029800
11/5/25,198.77,202.92,194.65,195.21,171350300
11/4/25,203.00,203.97,197.93,198.69,188919300
11/3/25,208.08,211.34,205.56,206.88,180267300
10/31/25,206.45,207.97,202.07,202.49,179802200
10/30/25,205.15,206.16,201.41,202.89,178864400
10/29/25,207.98,212.19,204.78,207.04,308829600
10/28/25,193.05,203.15,191.91,201.03,297986200
10/27/25,189.99,192.00,188.43,191.49,153452700
10/24/25,183.84,187.47,183.50,186.26,131296700
10/23/25,180.42,183.03,179.79,182.16,111363700
10/22/25,181.14,183.44,176.76,180.28,162249600
10/21/25,182.79,182.79,179.80,181.16,124240200
10/20/25,183.13,185.20,181.73,182.64,128544700
10/17/25,180.18,184.10,179.75,183.22,173135200
10/16/25,182.23,183.28,179.77,181.81,179723300
10/15/25,184.80,184.87,177.29,179.83,214450500
10/14/25,184.77,184.80,179.70,180.03,205641400
10/13/25,187.97,190.11,185.96,188.32,153482800
10/10/25,193.51,195.62,182.05,183.16,268774400
10/9/25,192.23,195.30,191.06,192.57,182997200
10/8/25,186.57,189.60,186.54,189.11,130168900
10/7/25,186.23,189.06,184.00,185.04,140088000
10/6/25,185.50,187.23,183.33,185.54,157678100
10/3/25,189.19,190.36,185.38,187.62,137596900
10/2/25,189.60,191.05,188.06,188.89,136805800
10/1/25,185.24,188.14,183.90,187.24,173844900
9/30/25,182.08,187.35,181.48,186.58,236981000
9/29/25,180.43,184.00,180.32,181.85,193063500
9/26/25,178.17,179.77,174.93,178.19,148573700
9/25/25,174.48,180.26,173.13,177.69,191586700
9/24/25,179.77,179.78,175.40,176.97,143564100
9/23/25,181.97,182.42,176.21,178.43,192559600
9/22/25,175.30,184.55,174.71,183.61,269637000
9/19/25,175.77,178.08,175.18,176.67,237182100
9/18/25,173.98,177.10,172.96,176.24,191763300
