Date,Open,High,Low,Close,Volume
4/30/26,77.55,83.59,77.47,82.51,17604180
4/29/26,77.86,78.01,73.99,77.02,17751380
4/28/26,80.08,81.78,77.60,78.59,14379660
4/27/26,79.69,82.48,77.05,82.29,19386340
4/24/26,86.34,86.41,79.08,79.68,22130430
4/23/26,89.85,90.30,81.57,84.60,22664070
4/22/26,90.47,93.10,87.76,90.04,21474440
4/21/26,90.33,91.95,85.75,86.64,27450440
4/20/26,84.85,90.35,84.60,89.46,28827370
4/17/26,84.08,86.99,83.60,84.80,26066330
4/16/26,76.97,83.49,76.90,82.93,41014170
4/15/26,73.59,74.59,69.60,73.60,23568740
4/14/26,73.56,74.75,70.48,72.22,22642960
4/13/26,67.05,71.55,66.59,70.62,17994710
4/10/26,67.70,70.06,66.34,68.05,18621040
4/9/26,69.06,69.79,66.55,66.74,17250860
4/8/26,72.00,73.67,67.81,69.08,26863790
4/7/26,67.12,68.30,63.96,66.32,25396300
4/6/26,67.73,70.32,66.60,67.67,22351810
4/2/26,62.23,69.39,61.86,67.73,32670580
4/1/26,65.50,68.67,65.30,65.52,27157230
3/31/26,61.71,64.58,59.03,64.22,26607370
3/30/26,61.45,61.64,56.13,57.38,21933540
3/27/26,66.01,66.10,60.35,60.93,20311770
3/26/26,71.20,72.09,65.59,65.94,22988840
3/25/26,68.94,75.06,68.94,72.88,34508770
3/24/26,67.00,68.60,64.46,66.07,21358030
3/23/26,68.09,69.45,66.05,68.00,23852280
3/20/26,72.00,73.98,66.39,67.23,35247170
3/19/26,68.82,72.73,68.00,71.93,28549950
3/18/26,76.04,76.88,69.40,69.48,33919270
3/17/26,71.48,78.67,71.27,78.59,29734940
3/16/26,69.33,72.38,68.67,71.31,16946720
3/13/26,69.15,71.31,67.44,68.41,16039840
3/12/26,71.95,72.60,68.28,68.37,17683030
3/11/26,68.80,73.30,68.33,71.96,18140620
3/10/26,70.34,72.94,68.62,68.93,18248850
3/9/26,69.39,72.13,67.82,71.48,18434200
3/6/26,68.14,75.11,68.14,70.11,22272770
3/5/26,70.92,72.31,67.34,70.00,14528810
3/4/26,70.81,74.10,69.47,71.91,17073010
3/3/26,68.86,73.25,66.19,70.13,17405200
3/2/26,66.68,72.10,66.45,70.97,18845550
2/27/26,67.59,69.59,64.10,69.10,25729770
2/26/26,70.05,72.74,68.81,72.65,18411600
2/25/26,71.10,71.85,68.88,70.20,11793710
2/24/26,68.88,70.06,66.60,69.97,12858260
2/23/26,68.76,71.25,68.50,70.21,13795750
2/20/26,75.48,78.20,69.40,70.86,18253470
2/19/26,72.90,77.11,72.35,76.58,14693380
2/18/26,71.00,75.77,69.99,74.42,19118370
2/17/26,66.08,70.99,65.00,69.89,12059200
2/13/26,66.70,69.60,65.50,67.44,14737920
2/12/26,67.53,68.45,63.87,66.01,18313700
2/11/26,73.13,73.40,67.02,69.62,17563090
2/10/26,74.60,75.86,71.55,72.03,13195610
2/9/26,72.03,76.80,70.75,75.84,16394440
2/6/26,69.00,72.66,67.00,72.32,20049560
2/5/26,69.98,72.99,65.20,66.32,22675410
2/4/26,81.35,81.35,68.56,73.11,26237420
2/3/26,78.60,81.32,75.77,81.27,19000580
