Date,Close/Last,Volume,Open,High,Low
04/30/2026,$144.12,2314565,$141.43,$144.29,$138.75
04/29/2026,$140.55,2790639,$143.03,$144.15,$139.78
04/28/2026,$144.83,5585373,$146.22,$150.00,$141.61
04/27/2026,$131.67,4816531,$137.17,$137.25,$131.02
04/24/2026,$135.30,3501685,$134.58,$138.44,$132.00
04/23/2026,$134.48,4275182,$141.79,$143.94,$133.05
04/22/2026,$141.50,3731761,$149.67,$149.68,$141.00
04/21/2026,$148.90,2828131,$147.00,$149.36,$143.17
04/20/2026,$146.23,3495621,$151.85,$153.50,$146.17
04/17/2026,$148.63,4759878,$149.48,$151.135,$145.52
04/16/2026,$149.27,5701859,$152.55,$155.70,$147.30
04/15/2026,$152.54,11938460,$149.51,$155.01,$147.63
04/14/2026,$147.01,8202306,$136.50,$148.00,$134.66
04/13/2026,$136.30,14720640,$132.26,$136.80,$127.00
04/10/2026,$96.43,1984964,$97.03,$97.225,$94.63
04/09/2026,$96.22,1283269,$96.75,$98.00,$94.70
04/08/2026,$96.75,1203521,$98.99,$99.00,$95.80
04/07/2026,$96.29,1035234,$95.51,$96.36,$94.00
04/06/2026,$95.36,1743881,$98.19,$98.73,$95.035
04/02/2026,$99.12,1331711,$96.47,$101.00,$96.47
04/01/2026,$98.64,2185988,$98.67,$99.96,$97.19
03/31/2026,$97.25,3247537,$94.21,$98.10,$94.0375
03/30/2026,$92.71,1747144,$92.49,$93.88,$91.52
03/27/2026,$92.51,1102839,$93.17,$95.31,$92.09
03/26/2026,$93.21,1703169,$93.68,$95.11,$93.05
03/25/2026,$94.29,2483675,$96.54,$97.37,$92.5856
03/24/2026,$95.52,1528879,$96.16,$97.435,$95.42
03/23/2026,$96.63,1366524,$96.86,$98.80,$96.14
03/20/2026,$95.78,3380707,$97.97,$98.98,$94.87
03/19/2026,$99.29,1488998,$97.44,$100.075,$97.42
03/18/2026,$98.11,2210399,$99.13,$99.52,$97.26
03/17/2026,$99.13,1865655,$98.12,$100.51,$97.10
03/16/2026,$99.00,1542284,$96.60,$99.644,$96.60
03/13/2026,$94.86,1465622,$96.44,$99.09,$94.67
03/12/2026,$95.07,2255283,$98.34,$99.17,$95.04
03/11/2026,$99.59,2294558,$98.19,$100.14,$96.52
03/10/2026,$98.86,2104308,$99.74,$101.38,$98.70
03/09/2026,$99.79,1498022,$98.93,$99.90,$97.63
03/06/2026,$98.40,1601104,$98.17,$100.08,$97.31
03/05/2026,$99.64,1705176,$100.44,$101.065,$98.19
03/04/2026,$101.19,1568206,$101.34,$102.00,$100.37
03/03/2026,$100.49,1875078,$98.98,$102.36,$97.61
03/02/2026,$101.62,2475475,$101.50,$102.34,$97.78
02/27/2026,$102.02,10308390,$102.10,$104.315,$100.52
02/26/2026,$102.15,1994153,$95.47,$104.08,$95.25
02/25/2026,$103.24,2823170,$105.90,$107.45,$102.38
02/24/2026,$104.83,1950241,$103.69,$105.30,$103.28
02/23/2026,$103.69,1670057,$101.84,$103.83,$100.98
02/20/2026,$101.83,1694604,$102.72,$102.82,$100.20
02/19/2026,$102.74,1801603,$99.58,$103.69,$98.38
02/18/2026,$99.79,1594729,$100.60,$101.53,$98.71
02/17/2026,$100.61,1484294,$96.80,$100.62,$95.995
02/13/2026,$96.31,1585294,$97.84,$99.01,$95.97
02/12/2026,$97.33,1553021,$98.65,$98.79,$97.12
02/11/2026,$97.99,2319576,$96.64,$98.41,$93.7901
02/10/2026,$95.98,1667463,$96.90,$97.36,$94.95
02/09/2026,$96.74,1471596,$97.27,$97.81,$95.88
02/06/2026,$97.49,2135177,$97.50,$99.58,$96.43
02/05/2026,$96.15,1881720,$96.15,$97.99,$95.51
02/04/2026,$96.51,2447294,$96.44,$97.08,$93.02
02/03/2026,$95.97,2417200,$97.96,$98.6399,$94.895
02/02/2026,$97.16,2540587,$96.52,$97.50,$95.30
01/30/2026,$96.95,2090541,$98.01,$99.49,$96.63
01/29/2026,$98.20,2478138,$96.995,$100.18,$96.78
01/28/2026,$97.33,3133818,$99.04,$100.30,$96.72
01/27/2026,$99.82,3567210,$98.135,$101.93,$97.75
01/26/2026,$97.78,10177790,$93.50,$99.51,$92.50
01/23/2026,$117.63,2522362,$118.40,$120.63,$117.59
01/22/2026,$118.81,3188795,$118.365,$120.53,$116.55
01/21/2026,$117.53,3876286,$115.60,$118.43,$114.805
01/20/2026,$116.22,5311354,$118.59,$119.75,$113.96
01/16/2026,$120.28,4798696,$124.45,$124.49,$119.6101
01/15/2026,$123.27,2968894,$120.70,$124.16,$120.70
01/14/2026,$121.22,3692722,$119.82,$122.1199,$118.15
01/13/2026,$119.95,3882243,$118.16,$121.30,$117.775
01/12/2026,$117.17,6180101,$116.82,$118.48,$113.33
01/09/2026,$118.64,20793760,$120.00,$121.615,$109.77
01/08/2026,$107.39,13607300,$95.21,$112.43,$94.5162
01/07/2026,$102.71,14855430,$80.95,$105.00,$79.94
01/06/2026,$79.85,2224788,$78.51,$80.392,$77.76
01/05/2026,$78.33,3279310,$78.44,$78.94,$76.28
01/02/2026,$79.02,1381633,$80.29,$80.475,$77.86
12/31/2025,$79.65,844931,$79.68,$80.30,$79.455
12/30/2025,$79.67,1267267,$80.18,$80.50,$78.97
12/29/2025,$80.52,2035208,$80.01,$80.925,$79.80
12/26/2025,$80.75,1113796,$81.22,$81.5761,$80.01
12/24/2025,$81.19,1400396,$80.51,$81.97,$80.01
12/23/2025,$80.27,1106124,$80.57,$81.71,$79.91
12/22/2025,$80.58,1814755,$78.40,$81.62,$78.40
12/19/2025,$78.78,6313981,$77.56,$79.10,$76.45
12/18/2025,$75.96,2967644,$76.79,$77.706,$74.20
12/17/2025,$76.74,2842559,$77.46,$77.83,$75.82
12/16/2025,$77.56,4498012,$76.09,$78.41,$73.00
12/15/2025,$79.00,3187651,$78.43,$79.95,$78.17
12/12/2025,$78.92,2240032,$78.85,$80.44,$78.05
12/11/2025,$78.51,2023990,$78.30,$79.60,$77.54
