Date,Open,High,Low,Close,Volume
4/30/26,1112.43,1115.00,1076.05,1096.51,15088250
4/29/26,1070.60,1103.00,1060.00,1064.21,11350220
4/28/26,1027.60,1054.22,980.28,1002.35,14119010
4/27/26,1019.65,1070.66,1008.88,1070.20,13005040
4/24/26,954.56,1002.09,947.00,989.90,11642760
4/23/26,948.55,978.88,926.11,932.43,12272640
4/22/26,922.01,981.06,895.74,979.07,15497420
4/21/26,927.85,938.78,899.20,903.49,10245940
4/20/26,930.97,951.47,900.37,913.02,11303470
4/17/26,920.84,930.50,886.00,920.99,25655700
4/16/26,896.62,929.50,892.51,919.47,13851910
4/15/26,929.87,937.99,873.93,891.72,16269630
4/14/26,964.02,965.00,902.00,944.46,19821450
4/13/26,867.09,953.41,866.95,952.50,20234380
4/10/26,873.95,873.95,835.28,851.77,13343840
4/9/26,817.08,855.00,805.00,851.57,17233650
4/8/26,784.00,807.99,758.19,780.90,16898940
4/7/26,715.70,738.01,687.68,710.80,14406490
4/6/26,720.34,736.00,711.00,724.63,12773710
4/2/26,642.09,707.31,641.00,701.59,17443940
4/1/26,652.29,710.85,645.10,692.73,22322740
3/31/26,588.01,636.32,578.42,635.34,20685040
3/30/26,642.12,651.00,558.58,572.50,20501220
3/27/26,599.75,638.52,599.37,615.83,16684210
3/26/26,654.00,659.66,602.03,603.17,19023850
3/25/26,651.00,687.22,638.00,677.86,20618700
3/24/26,693.69,711.30,680.19,702.48,14673140
3/23/26,716.00,748.78,678.84,702.49,22925060
3/20/26,772.70,777.60,698.35,709.71,23508600
3/19/26,707.15,776.00,692.00,772.09,21266420
3/18/26,730.02,761.52,715.50,753.69,20663120
3/17/26,716.00,721.37,695.12,720.17,14782130
3/16/26,687.52,720.00,687.43,703.63,19406330
3/13/26,630.75,671.67,623.06,661.62,18806850
3/12/26,647.00,651.99,612.21,618.82,17284060
3/11/26,625.95,655.68,618.80,655.43,15815810
3/10/26,599.23,636.58,595.56,618.89,18133170
3/9/26,517.00,589.51,517.00,588.73,21205540
3/6/26,548.25,570.90,526.63,527.33,16108860
3/5/26,594.39,603.53,559.10,565.59,15433610
3/4/26,586.84,607.48,576.30,599.06,15614280
3/3/26,581.64,593.16,557.09,565.41,20533530
3/2/26,618.65,648.80,597.60,619.08,17519880
2/27/26,627.08,661.20,621.27,635.36,18208160
2/26/26,645.74,659.86,607.00,651.90,23672740
2/25/26,644.30,661.20,624.43,632.38,18561480
2/24/26,682.50,684.09,612.92,638.52,30408250
2/23/26,659.59,691.54,644.38,666.49,18569370
2/20/26,616.00,650.29,615.65,649.97,17121930
2/19/26,597.33,634.48,590.10,621.09,19601560
2/18/26,582.49,616.98,574.50,600.40,25097580
2/17/26,612.00,628.65,588.95,590.59,19143170
2/13/26,610.53,661.50,586.37,626.56,23640420
2/12/26,640.55,668.00,615.62,630.29,23321090
2/11/26,578.50,612.80,575.00,599.34,20472750
2/10/26,573.88,582.28,540.14,541.64,15903990
2/9/26,592.17,603.98,551.51,583.40,15290720
2/6/26,614.50,615.36,575.50,597.95,21327300
2/5/26,563.75,619.41,562.10,576.20,27725460
2/4/26,654.00,662.79,582.00,584.55,29007560
2/3/26,694.06,725.00,646.20,695.51,31213230
2/2/26,588.81,674.00,584.10,665.24,28765760
1/30/26,651.23,676.69,533.00,576.25,40932130
1/29/26,535.85,546.75,507.24,539.30,23010340
1/28/26,500.10,531.46,499.15,527.63,16486260
1/27/26,481.01,503.00,471.15,481.43,14015610
1/26/26,476.49,494.70,454.33,470.80,13435180
1/23/26,503.44,506.30,463.01,473.83,21061100
1/22/26,501.29,509.50,467.56,503.44,20607490
1/21/26,463.05,501.95,448.53,501.29,21365040
1/20/26,412.17,457.37,412.17,453.12,17872450
1/16/26,425.59,432.02,399.70,413.62,15703040
1/15/26,398.83,423.35,398.62,409.24,14146570
1/14/26,390.00,401.20,377.00,387.81,10862500
1/13/26,393.20,398.00,379.41,389.81,10818620
1/12/26,373.97,395.16,373.97,389.27,14603920
1/9/26,341.60,384.00,334.54,377.41,19353180
1/8/26,360.73,360.98,310.78,334.54,21404430
1/7/26,340.88,354.94,331.23,353.56,14886070
1/6/26,288.75,352.00,288.50,349.63,24249690
1/5/26,284.22,285.00,266.33,274.08,9812554
1/2/26,244.35,275.80,244.00,275.24,11104310
12/31/25,241.42,241.90,235.24,237.38,4180414
12/30/25,245.87,247.48,236.52,240.22,6617041
12/29/25,241.56,250.00,236.01,244.25,5706206
12/26/25,259.60,261.50,245.10,250.05,5553664
12/24/25,244.90,261.37,244.50,250.08,5642556
12/23/25,238.42,245.50,234.00,244.90,5305676
12/22/25,249.65,252.00,226.60,241.05,8663399
12/19/25,222.29,243.71,221.00,237.61,10924970
12/18/25,222.74,231.00,214.00,219.46,9924101
12/17/25,215.99,221.99,205.52,206.83,8232320
12/16/25,201.13,210.50,199.50,209.31,6638425
12/15/25,214.45,217.00,200.34,201.87,6264976
12/12/25,232.11,236.00,204.80,206.18,12083180
12/11/25,230.00,244.19,217.67,241.61,7622468
12/10/25,218.00,234.17,215.20,232.86,6090435
12/9/25,222.27,224.33,213.50,219.46,6299028
12/8/25,235.66,238.86,215.60,225.47,8710023
12/5/25,212.40,229.45,211.25,228.47,8451321
12/4/25,192.33,214.99,189.68,213.31,12166490
12/3/25,196.70,199.18,187.70,194.38,9868223
12/2/25,211.75,217.00,192.80,205.35,11095750
12/1/25,211.84,215.30,205.24,210.17,10280920
11/28/25,225.25,237.77,211.73,223.28,13367520
